-10 0.001000 0.001700
-8 0.011400 0.010285
-6 0.043100 0.041707
-4 0.115600 0.113372
-2 0.209600 0.206577
0 0.245200 0.252313
2 0.200100 0.206577
4 0.119900 0.113372
6 0.043700 0.041707
8 0.009000 0.010285
10 0.001400 0.001700
