Number of cycles (x 1000) : 2000
Number of init cycles    : 200
NumberOfParticles        : 100
Maximum displacement     : 1.000000
Maximum volume change    : 10.000000
Beta                     : 10.000000
Pressure                 : 1.000000


Volume : 456.290062   Box : 7.698634
Volume : 456.290062   Box : 7.698634
Volume : 456.290062   Box : 7.698634
Volume : 456.290062   Box : 7.698634
Volume : 456.290062   Box : 7.698634
Volume : 456.290062   Box : 7.698634
Volume : 456.290062   Box : 7.698634
Volume : 456.290062   Box : 7.698634
Volume : 456.290062   Box : 7.698634
Volume : 456.290062   Box : 7.698634
Volume : 455.659500   Box : 7.695086
Volume : 455.659500   Box : 7.695086
Volume : 455.659500   Box : 7.695086
Volume : 455.659500   Box : 7.695086
Volume : 455.659500   Box : 7.695086
Volume : 455.659500   Box : 7.695086
Volume : 455.659500   Box : 7.695086
Volume : 455.659500   Box : 7.695086
Volume : 455.659500   Box : 7.695086
Volume : 455.659500   Box : 7.695086
Volume : 454.160330   Box : 7.686637
Volume : 454.160330   Box : 7.686637
Volume : 454.160330   Box : 7.686637
Volume : 454.160330   Box : 7.686637
Volume : 454.160330   Box : 7.686637
Volume : 454.160330   Box : 7.686637
Volume : 454.160330   Box : 7.686637
Volume : 454.160330   Box : 7.686637
Volume : 454.160330   Box : 7.686637
Volume : 454.160330   Box : 7.686637
Volume : 454.160330   Box : 7.686637
Volume : 454.160330   Box : 7.686637
Volume : 454.160330   Box : 7.686637
Volume : 454.160330   Box : 7.686637
Volume : 454.160330   Box : 7.686637
Volume : 454.160330   Box : 7.686637
Volume : 454.160330   Box : 7.686637


Fraction Succes (Displ.) : 0.715612
Fraction Succes (Volume) : 0.001868
Average Volume           : 549.729025
Average Density          : 0.181908
