Number of cycles (x 1000) : 2000
Number of init cycles    : 200
NumberOfParticles        : 100
Maximum displacement     : 1.000000
Maximum volume change    : 5.000000
Beta                     : 10.000000
Pressure                 : 1.000000


Volume : 1000.000000   Box : 10.000000
Volume : 928.915729   Box : 9.757205
Volume : 928.915729   Box : 9.757205
Volume : 928.915729   Box : 9.757205
Volume : 784.407822   Box : 9.222471
Volume : 784.407822   Box : 9.222471
Volume : 784.407822   Box : 9.222471
Volume : 784.407822   Box : 9.222471
Volume : 784.407822   Box : 9.222471
Volume : 774.147693   Box : 9.182084
Volume : 774.147693   Box : 9.182084
Volume : 752.482962   Box : 9.095618
Volume : 752.482962   Box : 9.095618
Volume : 752.482962   Box : 9.095618
Volume : 752.482962   Box : 9.095618
Volume : 752.482962   Box : 9.095618
Volume : 721.216382   Box : 8.967854
Volume : 721.216382   Box : 8.967854
Volume : 721.216382   Box : 8.967854
Volume : 721.216382   Box : 8.967854
Volume : 710.110678   Box : 8.921585
Volume : 710.110678   Box : 8.921585
Volume : 691.170161   Box : 8.841548
Volume : 677.281447   Box : 8.781925
Volume : 668.829634   Box : 8.745242
Volume : 657.490263   Box : 8.695538
Volume : 657.490263   Box : 8.695538
Volume : 657.490263   Box : 8.695538
Volume : 657.490263   Box : 8.695538
Volume : 657.490263   Box : 8.695538
Volume : 657.490263   Box : 8.695538
Volume : 657.490263   Box : 8.695538
Volume : 657.490263   Box : 8.695538
Volume : 636.802934   Box : 8.603365
Volume : 609.929972   Box : 8.480602
Volume : 609.929972   Box : 8.480602
Volume : 584.060801   Box : 8.358968
Volume : 584.060801   Box : 8.358968
Volume : 584.060801   Box : 8.358968
Volume : 584.060801   Box : 8.358968
Volume : 584.060801   Box : 8.358968
Volume : 584.060801   Box : 8.358968
Volume : 548.511235   Box : 8.185813
Volume : 548.511235   Box : 8.185813
Volume : 548.511235   Box : 8.185813
Volume : 548.511235   Box : 8.185813
Volume : 548.511235   Box : 8.185813
Volume : 548.511235   Box : 8.185813
Volume : 544.402146   Box : 8.165321
Volume : 525.692268   Box : 8.070687
Volume : 525.692268   Box : 8.070687
Volume : 492.972355   Box : 7.899644
Volume : 492.972355   Box : 7.899644
Volume : 492.972355   Box : 7.899644
Volume : 469.826427   Box : 7.774023
Volume : 469.826427   Box : 7.774023
Volume : 469.826427   Box : 7.774023
Volume : 469.826427   Box : 7.774023
Volume : 469.826427   Box : 7.774023
Volume : 445.461656   Box : 7.637246
Volume : 445.461656   Box : 7.637246
Volume : 445.461656   Box : 7.637246
Volume : 444.524973   Box : 7.631889
Volume : 444.524973   Box : 7.631889
Volume : 444.524973   Box : 7.631889
Volume : 439.727407   Box : 7.604334
Volume : 439.727407   Box : 7.604334
Volume : 439.727407   Box : 7.604334
Volume : 439.727407   Box : 7.604334
Volume : 439.727407   Box : 7.604334
Volume : 420.309190   Box : 7.490710
Volume : 412.889413   Box : 7.446369
Volume : 412.889413   Box : 7.446369
Volume : 412.889413   Box : 7.446369
Volume : 412.889413   Box : 7.446369
Volume : 412.889413   Box : 7.446369
Volume : 412.889413   Box : 7.446369
Volume : 408.179300   Box : 7.417946
Volume : 408.179300   Box : 7.417946
Volume : 408.179300   Box : 7.417946
Volume : 405.190101   Box : 7.399794
Volume : 405.190101   Box : 7.399794
Volume : 405.190101   Box : 7.399794
Volume : 405.190101   Box : 7.399794
Volume : 404.153603   Box : 7.393479
Volume : 404.153603   Box : 7.393479
Volume : 404.153603   Box : 7.393479
Volume : 404.153603   Box : 7.393479
Volume : 404.153603   Box : 7.393479
Volume : 385.571217   Box : 7.278382
Volume : 385.571217   Box : 7.278382
Volume : 385.571217   Box : 7.278382
Volume : 385.571217   Box : 7.278382
Volume : 385.571217   Box : 7.278382
Volume : 385.571217   Box : 7.278382
Volume : 385.571217   Box : 7.278382
Volume : 385.571217   Box : 7.278382
Volume : 385.571217   Box : 7.278382
Volume : 377.194302   Box : 7.225286
Volume : 375.398692   Box : 7.213803
Volume : 375.398692   Box : 7.213803
Volume : 375.398692   Box : 7.213803
Volume : 375.398692   Box : 7.213803
Volume : 375.398692   Box : 7.213803
Volume : 371.638978   Box : 7.189639
Volume : 371.638978   Box : 7.189639
Volume : 370.690902   Box : 7.183520
Volume : 370.690902   Box : 7.183520
Volume : 368.236671   Box : 7.167632
Volume : 368.236671   Box : 7.167632
Volume : 368.236671   Box : 7.167632
Volume : 368.236671   Box : 7.167632
Volume : 368.236671   Box : 7.167632
Volume : 363.926674   Box : 7.139558
Volume : 356.819082   Box : 7.092772
Volume : 355.552159   Box : 7.084368
Volume : 355.552159   Box : 7.084368
Volume : 355.552159   Box : 7.084368
Volume : 355.552159   Box : 7.084368
Volume : 352.228578   Box : 7.062225
Volume : 352.228578   Box : 7.062225
Volume : 352.228578   Box : 7.062225
Volume : 351.177911   Box : 7.055196
Volume : 351.177911   Box : 7.055196
Volume : 351.177911   Box : 7.055196
Volume : 351.177911   Box : 7.055196
Volume : 345.995330   Box : 7.020317
Volume : 345.995330   Box : 7.020317
Volume : 345.995330   Box : 7.020317
Volume : 345.995330   Box : 7.020317
Volume : 345.995330   Box : 7.020317
Volume : 345.995330   Box : 7.020317
