Number of cycles (x 1000) : 2000
Number of init cycles    : 200
NumberOfParticles        : 100
Maximum displacement     : 1.000000
Maximum volume change    : 0.005000
Beta                     : 10.000000
Pressure                 : 1.000000


Volume : 994.373139   Box : 9.981209
Volume : 937.866917   Box : 9.788446
Volume : 893.741114   Box : 9.632461
Volume : 839.336569   Box : 9.432903
Volume : 776.927023   Box : 9.193060
Volume : 739.722445   Box : 9.043911
Volume : 702.339954   Box : 8.888923
Volume : 660.995156   Box : 8.710961
Volume : 606.048183   Box : 8.462572
Volume : 572.250125   Box : 8.302240
Volume : 538.562682   Box : 8.136021
Volume : 509.272532   Box : 7.985769
Volume : 476.001891   Box : 7.807936
Volume : 449.259747   Box : 7.658890
Volume : 423.186088   Box : 7.507761
Volume : 405.727082   Box : 7.403061
Volume : 381.522497   Box : 7.252817
Volume : 365.018983   Box : 7.146693
Volume : 346.937108   Box : 7.026681
Volume : 324.680369   Box : 6.873090
Volume : 306.872003   Box : 6.745059
Volume : 295.189257   Box : 6.658354
Volume : 284.499573   Box : 6.576990
Volume : 270.341085   Box : 6.466025
Volume : 262.598365   Box : 6.403695
Volume : 253.826305   Box : 6.331582
Volume : 242.072519   Box : 6.232302
Volume : 233.582324   Box : 6.158572
Volume : 228.466339   Box : 6.113277
Volume : 221.725622   Box : 6.052553
Volume : 216.466054   Box : 6.004312
Volume : 211.452600   Box : 5.957595
Volume : 204.403398   Box : 5.890643
Volume : 199.367599   Box : 5.841865
Volume : 194.051518   Box : 5.789473
Volume : 190.546403   Box : 5.754403
Volume : 184.130621   Box : 5.689080
Volume : 179.625431   Box : 5.642297
Volume : 176.138961   Box : 5.605553
Volume : 172.715387   Box : 5.568997
Volume : 169.672059   Box : 5.536094
Volume : 167.246676   Box : 5.509589
Volume : 164.385528   Box : 5.477989
Volume : 161.790389   Box : 5.449010
Volume : 160.690624   Box : 5.436635
Volume : 158.656776   Box : 5.413601
Volume : 157.434265   Box : 5.399660
Volume : 157.054832   Box : 5.395319
Volume : 156.974119   Box : 5.394394
Volume : 155.275612   Box : 5.374867
Volume : 153.050586   Box : 5.349071
Volume : 151.721220   Box : 5.333539
Volume : 150.552361   Box : 5.319807
Volume : 150.317862   Box : 5.317043
Volume : 147.600705   Box : 5.284811
Volume : 146.066636   Box : 5.266438
Volume : 145.185175   Box : 5.255823
Volume : 144.032545   Box : 5.241878
Volume : 143.479712   Box : 5.235162
Volume : 142.191868   Box : 5.219452
Volume : 141.622200   Box : 5.212473
Volume : 140.862758   Box : 5.203139
Volume : 140.218018   Box : 5.195188
Volume : 140.360119   Box : 5.196942
Volume : 138.922377   Box : 5.179137
Volume : 139.005287   Box : 5.180167
Volume : 138.971979   Box : 5.179753
Volume : 137.502839   Box : 5.161436
Volume : 135.579619   Box : 5.137259
Volume : 136.109354   Box : 5.143941
Volume : 135.201276   Box : 5.132476
Volume : 134.342359   Box : 5.121584
Volume : 134.135684   Box : 5.118957
Volume : 133.181645   Box : 5.106791
Volume : 131.715901   Box : 5.087988
Volume : 131.210619   Box : 5.081473
Volume : 130.659151   Box : 5.074344
Volume : 129.216404   Box : 5.055598
Volume : 129.292723   Box : 5.056593
Volume : 128.439286   Box : 5.045443
Volume : 128.359271   Box : 5.044395
Volume : 128.241957   Box : 5.042858
Volume : 128.587269   Box : 5.047380
Volume : 128.527328   Box : 5.046595
Volume : 128.334348   Box : 5.044068
Volume : 128.586917   Box : 5.047375
Volume : 128.506934   Box : 5.046329
Volume : 128.459882   Box : 5.045713
Volume : 127.664883   Box : 5.035282
Volume : 127.085186   Box : 5.027649
Volume : 127.332734   Box : 5.030912
Volume : 127.455730   Box : 5.032531
Volume : 127.150629   Box : 5.028512
Volume : 126.761164   Box : 5.023373
Volume : 126.862917   Box : 5.024717
Volume : 126.088724   Box : 5.014474
Volume : 125.956354   Box : 5.012719
Volume : 127.126804   Box : 5.028198
Volume : 126.686573   Box : 5.022387
Volume : 126.960982   Box : 5.026011
Volume : 126.791898   Box : 5.023779
Volume : 126.749664   Box : 5.023221
Volume : 127.020822   Box : 5.026800
Volume : 126.577686   Box : 5.020948
Volume : 126.068335   Box : 5.014204
Volume : 125.993865   Box : 5.013217
Volume : 125.974674   Box : 5.012962
Volume : 125.400969   Box : 5.005341
Volume : 125.031614   Box : 5.000421
Volume : 124.933208   Box : 4.999109
Volume : 125.066914   Box : 5.000892
Volume : 124.229727   Box : 4.989709
Volume : 124.557247   Box : 4.994090
Volume : 123.798740   Box : 4.983932
Volume : 124.154145   Box : 4.988696
Volume : 124.139081   Box : 4.988495
Volume : 124.321843   Box : 4.990942
Volume : 124.134094   Box : 4.988428
Volume : 124.087273   Box : 4.987801
Volume : 123.889578   Box : 4.985150
Volume : 123.810716   Box : 4.984092
Volume : 123.209560   Box : 4.976013
Volume : 122.683098   Box : 4.968915
Volume : 122.320055   Box : 4.964009
Volume : 122.549049   Box : 4.967105
Volume : 122.474517   Box : 4.966098
Volume : 122.275952   Box : 4.963412
Volume : 121.956292   Box : 4.959083
Volume : 122.039930   Box : 4.960217
Volume : 121.854644   Box : 4.957705
Volume : 122.316412   Box : 4.963960
Volume : 122.352429   Box : 4.964447
