Number of cycles (x 1000) : 2000
Number of init cycles    : 200
NumberOfParticles        : 100
Maximum displacement     : 1.000000
Maximum volume change    : 0.000100
Beta                     : 10.000000
Pressure                 : 1.000000


Volume : 951.126819   Box : 9.834361
Volume : 950.379432   Box : 9.831784
Volume : 949.963044   Box : 9.830348
Volume : 949.475858   Box : 9.828667
Volume : 949.208145   Box : 9.827744
Volume : 948.654621   Box : 9.825833
Volume : 947.777494   Box : 9.822804
Volume : 948.060955   Box : 9.823783
Volume : 947.530100   Box : 9.821949
Volume : 947.414454   Box : 9.821549
Volume : 947.299692   Box : 9.821153
Volume : 947.213602   Box : 9.820855
Volume : 946.831566   Box : 9.819535
Volume : 946.352522   Box : 9.817878
Volume : 946.620441   Box : 9.818805
Volume : 945.792742   Box : 9.815942
Volume : 945.253163   Box : 9.814075
Volume : 944.987797   Box : 9.813157
Volume : 944.625789   Box : 9.811903
Volume : 944.168157   Box : 9.810319
Volume : 943.871728   Box : 9.809292
Volume : 943.707923   Box : 9.808724
Volume : 943.175996   Box : 9.806881
Volume : 942.798435   Box : 9.805572
Volume : 942.301211   Box : 9.803848
Volume : 942.236533   Box : 9.803624
Volume : 941.584175   Box : 9.801361
Volume : 941.360674   Box : 9.800585
Volume : 940.890558   Box : 9.798954
Volume : 940.456328   Box : 9.797446
Volume : 939.930567   Box : 9.795620
Volume : 939.726535   Box : 9.794911
Volume : 939.379084   Box : 9.793704
Volume : 938.990700   Box : 9.792354
Volume : 938.556089   Box : 9.790843
Volume : 938.114687   Box : 9.789308
Volume : 938.233972   Box : 9.789723


Fraction Succes (Displ.) : 0.841946
Fraction Succes (Volume) : 0.896766
Average Volume           : 966.848755
Average Density          : 0.103429
