Number of cycles (x 1000) : 2000
Number of init cycles    : 200
NumberOfParticles        : 100
Maximum displacement     : 1.000000
Maximum volume change    : 0.050000
Beta                     : 10.000000
Pressure                 : 1.000000


Volume : 980.263314   Box : 9.933773
Volume : 704.751539   Box : 8.899085
Volume : 500.208311   Box : 7.938107
Volume : 392.008640   Box : 7.318665
Volume : 335.383032   Box : 6.947796
Volume : 316.188963   Box : 6.812642
Volume : 287.253840   Box : 6.598146
Volume : 270.786885   Box : 6.469577
Volume : 257.352178   Box : 6.360764
Volume : 241.643803   Box : 6.228621
Volume : 228.068825   Box : 6.109729
Volume : 213.808622   Box : 5.979640
Volume : 205.132705   Box : 5.897641
Volume : 198.286354   Box : 5.831285
Volume : 193.671916   Box : 5.785695
Volume : 191.258036   Box : 5.761557
Volume : 184.095215   Box : 5.688715
Volume : 182.656193   Box : 5.673854
Volume : 180.842105   Box : 5.655007
Volume : 175.699195   Box : 5.600884
Volume : 173.698783   Box : 5.579547
Volume : 169.949968   Box : 5.539115
Volume : 165.754365   Box : 5.493153
Volume : 163.168575   Box : 5.464438
Volume : 162.289335   Box : 5.454605
Volume : 160.752899   Box : 5.437337
Volume : 160.135353   Box : 5.430366
Volume : 159.111496   Box : 5.418768
Volume : 157.534082   Box : 5.400801
Volume : 156.823079   Box : 5.392664
Volume : 152.266339   Box : 5.339919
Volume : 151.927196   Box : 5.335951
Volume : 151.275739   Box : 5.328313
Volume : 149.920234   Box : 5.312351
Volume : 149.595872   Box : 5.308517
Volume : 148.106436   Box : 5.290840
Volume : 145.694600   Box : 5.261963
Volume : 145.407493   Box : 5.258505
Volume : 145.120204   Box : 5.255039
Volume : 143.048632   Box : 5.229914
Volume : 142.934777   Box : 5.228526
Volume : 142.630810   Box : 5.224817
Volume : 141.904350   Box : 5.215932
Volume : 140.502174   Box : 5.198695
Volume : 140.502174   Box : 5.198695
Volume : 140.423203   Box : 5.197721
Volume : 138.911602   Box : 5.179003
Volume : 138.758466   Box : 5.177099
Volume : 137.881106   Box : 5.166165
Volume : 136.785638   Box : 5.152447
Volume : 134.414091   Box : 5.122496
Volume : 133.496355   Box : 5.110811
Volume : 133.271803   Box : 5.107944
Volume : 132.723064   Box : 5.100923
Volume : 133.140640   Box : 5.106267
Volume : 132.568061   Box : 5.098937
Volume : 131.759867   Box : 5.088554
Volume : 131.558448   Box : 5.085960
Volume : 131.811324   Box : 5.089216
Volume : 131.814630   Box : 5.089259
Volume : 131.633303   Box : 5.086924
Volume : 130.733880   Box : 5.075312
Volume : 130.406020   Box : 5.071065
Volume : 130.265838   Box : 5.069248
Volume : 129.565461   Box : 5.060146
Volume : 128.955798   Box : 5.052197
Volume : 129.300412   Box : 5.056694
Volume : 129.720633   Box : 5.062166
Volume : 129.779527   Box : 5.062932
Volume : 129.888028   Box : 5.064342
Volume : 129.936426   Box : 5.064971
Volume : 129.359787   Box : 5.057467
Volume : 129.368300   Box : 5.057578
Volume : 129.299946   Box : 5.056687
Volume : 129.141064   Box : 5.054615
Volume : 129.083841   Box : 5.053869
Volume : 128.969624   Box : 5.052378
Volume : 128.976012   Box : 5.052461
Volume : 128.616911   Box : 5.047768
Volume : 128.483443   Box : 5.046021
Volume : 128.791641   Box : 5.050052
Volume : 127.701951   Box : 5.035770
Volume : 127.954958   Box : 5.039093
Volume : 126.982193   Box : 5.026291
Volume : 126.982193   Box : 5.026291
Volume : 125.778340   Box : 5.010356
Volume : 125.743014   Box : 5.009887
Volume : 125.729326   Box : 5.009705
Volume : 125.435077   Box : 5.005794
Volume : 125.445793   Box : 5.005937
Volume : 125.360108   Box : 5.004797
Volume : 125.360108   Box : 5.004797
Volume : 125.082004   Box : 5.001093
Volume : 125.024854   Box : 5.000331
Volume : 124.945545   Box : 4.999274
Volume : 124.898686   Box : 4.998649
Volume : 124.378515   Box : 4.991700
Volume : 124.090485   Box : 4.987844
Volume : 124.308317   Box : 4.990761
Volume : 123.284456   Box : 4.977021
Volume : 122.915380   Box : 4.972049
Volume : 123.106827   Box : 4.974629
Volume : 122.786294   Box : 4.970308
Volume : 122.736938   Box : 4.969642
Volume : 122.437204   Box : 4.965593
Volume : 122.301724   Box : 4.963761
Volume : 121.860717   Box : 4.957788
Volume : 121.930787   Box : 4.958738
Volume : 121.735312   Box : 4.956086
Volume : 121.791160   Box : 4.956844
Volume : 121.605886   Box : 4.954329
Volume : 121.561397   Box : 4.953725
Volume : 121.610384   Box : 4.954390
Volume : 121.585836   Box : 4.954057
Volume : 121.655093   Box : 4.954997
Volume : 121.295287   Box : 4.950108
Volume : 121.324762   Box : 4.950509
Volume : 121.333381   Box : 4.950626
Volume : 121.413761   Box : 4.951719
Volume : 121.391231   Box : 4.951412
Volume : 121.283793   Box : 4.949951
Volume : 121.213541   Box : 4.948995
Volume : 120.367609   Box : 4.937456
Volume : 120.367609   Box : 4.937456
Volume : 120.367609   Box : 4.937456
Volume : 120.367848   Box : 4.937459
Volume : 120.254634   Box : 4.935910
Volume : 120.282971   Box : 4.936298
Volume : 120.343223   Box : 4.937122
Volume : 120.237267   Box : 4.935673
Volume : 120.122994   Box : 4.934109
Volume : 120.404978   Box : 4.937967
