Number of cycles (x 1000) : 2000
Number of init cycles    : 200
NumberOfParticles        : 100
Maximum displacement     : 1.000000
Maximum volume change    : 0.000500
Beta                     : 10.000000
Pressure                 : 1.000000


Volume : 999.469745   Box : 9.998232
Volume : 995.816945   Box : 9.986037
Volume : 990.987883   Box : 9.969869
Volume : 986.080884   Box : 9.953386
Volume : 981.610637   Box : 9.938322
Volume : 977.939503   Box : 9.925918
Volume : 972.342267   Box : 9.906944
Volume : 967.030113   Box : 9.888870
Volume : 961.151836   Box : 9.868792
Volume : 957.371596   Box : 9.855837
Volume : 950.677443   Box : 9.832812
Volume : 946.885536   Box : 9.819721
Volume : 941.257975   Box : 9.800229
Volume : 937.381428   Box : 9.786756
Volume : 933.948384   Box : 9.774794
Volume : 929.931007   Box : 9.760759
Volume : 923.515816   Box : 9.738262
Volume : 919.529260   Box : 9.724229
Volume : 914.385449   Box : 9.706063
Volume : 909.298289   Box : 9.688030
Volume : 906.622062   Box : 9.678516
Volume : 901.850686   Box : 9.661507
Volume : 898.285462   Box : 9.648759
Volume : 895.157734   Box : 9.637547
Volume : 891.668106   Box : 9.625008
Volume : 887.127029   Box : 9.608640
Volume : 882.895528   Box : 9.593339
Volume : 879.831601   Box : 9.582228
Volume : 874.019259   Box : 9.561081
Volume : 870.681716   Box : 9.548896
Volume : 867.267978   Box : 9.536400
Volume : 861.940018   Box : 9.516831
Volume : 857.362229   Box : 9.499953
Volume : 852.866072   Box : 9.483317
Volume : 848.956324   Box : 9.468804
Volume : 846.559052   Box : 9.459883
Volume : 842.179251   Box : 9.443540
Volume : 837.775244   Box : 9.427051
Volume : 834.095437   Box : 9.413228
Volume : 830.493583   Box : 9.399659
Volume : 828.119770   Box : 9.390695
Volume : 824.481713   Box : 9.376923
Volume : 822.579514   Box : 9.369706
Volume : 819.289434   Box : 9.357197
Volume : 815.559727   Box : 9.342977
Volume : 810.877573   Box : 9.325063
Volume : 807.645161   Box : 9.312655
Volume : 804.227594   Box : 9.299501
Volume : 801.111370   Box : 9.287474
Volume : 796.711124   Box : 9.270439
Volume : 794.520186   Box : 9.261933
Volume : 791.435077   Box : 9.249930
Volume : 787.622177   Box : 9.235051
Volume : 784.986711   Box : 9.224739
Volume : 782.857454   Box : 9.216391
Volume : 781.119747   Box : 9.209567
Volume : 775.897172   Box : 9.188996
Volume : 773.854087   Box : 9.180923
Volume : 769.992537   Box : 9.165627
Volume : 765.849093   Box : 9.149157
Volume : 762.874472   Box : 9.137296
Volume : 758.791088   Box : 9.120964
Volume : 753.119615   Box : 9.098183
Volume : 750.108690   Box : 9.086042
Volume : 747.844754   Box : 9.076892
Volume : 745.065879   Box : 9.065635
Volume : 742.466428   Box : 9.055080
Volume : 737.795647   Box : 9.036051
Volume : 735.781750   Box : 9.027822
Volume : 733.067352   Box : 9.016707
Volume : 731.612004   Box : 9.010736
Volume : 729.917241   Box : 9.003773
Volume : 727.764710   Box : 8.994914
Volume : 723.452535   Box : 8.977113
Volume : 720.827011   Box : 8.966240
Volume : 716.991272   Box : 8.950308
Volume : 715.069442   Box : 8.942304
Volume : 712.547873   Box : 8.931780
Volume : 709.667547   Box : 8.919729
Volume : 707.803473   Box : 8.911912
Volume : 704.905974   Box : 8.899735
Volume : 702.650431   Box : 8.890232
Volume : 701.573640   Box : 8.885689
Volume : 698.648209   Box : 8.873321
Volume : 695.339603   Box : 8.859291
Volume : 693.937119   Box : 8.853331
Volume : 690.147928   Box : 8.837187
Volume : 688.144393   Box : 8.828627
Volume : 684.987670   Box : 8.815107
Volume : 683.067358   Box : 8.806862
Volume : 680.792896   Box : 8.797076
Volume : 678.449921   Box : 8.786972
Volume : 676.498427   Box : 8.778539
Volume : 675.028336   Box : 8.772176
Volume : 672.307403   Box : 8.760374
Volume : 669.591056   Box : 8.748559
Volume : 668.227845   Box : 8.742618
Volume : 665.427668   Box : 8.730389
Volume : 663.046463   Box : 8.719963
Volume : 660.650959   Box : 8.709449
Volume : 658.074909   Box : 8.698114
Volume : 656.651381   Box : 8.691838
Volume : 654.455780   Box : 8.682140
Volume : 651.607865   Box : 8.669528
Volume : 650.240348   Box : 8.663459
Volume : 648.064786   Box : 8.653786
Volume : 645.857612   Box : 8.643950
Volume : 643.400144   Box : 8.632973
Volume : 642.446299   Box : 8.628705
Volume : 640.799284   Box : 8.621325
Volume : 637.642709   Box : 8.607145
Volume : 634.192058   Box : 8.591591
Volume : 630.293184   Box : 8.573948
Volume : 627.195983   Box : 8.559882
Volume : 625.262320   Box : 8.551076
Volume : 622.842728   Box : 8.540031
Volume : 619.516986   Box : 8.524804
Volume : 617.216982   Box : 8.514241
Volume : 614.691913   Box : 8.502615
Volume : 612.012252   Box : 8.490241
Volume : 608.583839   Box : 8.474358
Volume : 606.067984   Box : 8.462664
Volume : 603.807355   Box : 8.452129
Volume : 602.010190   Box : 8.443735
Volume : 600.035178   Box : 8.434491
Volume : 597.921702   Box : 8.424577
Volume : 596.355405   Box : 8.417214
Volume : 594.038597   Box : 8.406300
Volume : 590.894320   Box : 8.391442
Volume : 588.861590   Box : 8.381809
Volume : 586.682982   Box : 8.371459
Volume : 583.883535   Box : 8.358123
