Number of cycles (x 1000) : 2000
Number of init cycles    : 200
NumberOfParticles        : 100
Maximum displacement     : 1.000000
Maximum volume change    : 0.100000
Beta                     : 10.000000
Pressure                 : 1.000000


Volume : 1000.000000   Box : 10.000000
Volume : 687.198328   Box : 8.824580
Volume : 489.412415   Box : 7.880583
Volume : 425.578690   Box : 7.521884
Volume : 381.997196   Box : 7.255824
Volume : 341.449806   Box : 6.989439
Volume : 321.406847   Box : 6.849913
Volume : 280.059914   Box : 6.542599
Volume : 269.397244   Box : 6.458491
Volume : 261.451608   Box : 6.394360
Volume : 254.193127   Box : 6.334630
Volume : 243.629891   Box : 6.245639
Volume : 238.965808   Box : 6.205526
Volume : 234.483741   Box : 6.166484
Volume : 231.356378   Box : 6.138946
Volume : 227.489592   Box : 6.104553
Volume : 218.724787   Box : 6.025124
Volume : 215.706904   Box : 5.997285
Volume : 212.974799   Box : 5.971857
Volume : 210.427963   Box : 5.947957
Volume : 205.212445   Box : 5.898405
Volume : 205.517678   Box : 5.901328
Volume : 200.671824   Box : 5.854576
Volume : 198.325125   Box : 5.831665
Volume : 195.301821   Box : 5.801880
Volume : 192.142881   Box : 5.770429
Volume : 189.373403   Box : 5.742570
Volume : 188.523985   Box : 5.733972
Volume : 188.036227   Box : 5.729022
Volume : 186.922481   Box : 5.717689
Volume : 184.086801   Box : 5.688628
Volume : 183.042379   Box : 5.677850
Volume : 177.938819   Box : 5.624582
Volume : 177.922236   Box : 5.624407
Volume : 178.025001   Box : 5.625490
Volume : 173.520272   Box : 5.577635
Volume : 171.964512   Box : 5.560915
Volume : 170.461419   Box : 5.544666
Volume : 168.950496   Box : 5.528235
Volume : 167.718343   Box : 5.514763
Volume : 167.718343   Box : 5.514763
Volume : 164.849044   Box : 5.483133
Volume : 164.294005   Box : 5.476973
Volume : 163.974145   Box : 5.473416
Volume : 163.605531   Box : 5.469312
Volume : 162.033252   Box : 5.451735
Volume : 162.140746   Box : 5.452940
Volume : 160.724411   Box : 5.437016
Volume : 160.687216   Box : 5.436597
Volume : 157.201831   Box : 5.397001
Volume : 157.235083   Box : 5.397382
Volume : 157.141539   Box : 5.396311
Volume : 156.555004   Box : 5.389589
Volume : 155.183134   Box : 5.373800
Volume : 154.189822   Box : 5.362310
Volume : 154.252404   Box : 5.363035
Volume : 153.360570   Box : 5.352679
Volume : 152.973601   Box : 5.348174
Volume : 152.493855   Box : 5.342577
Volume : 151.076987   Box : 5.325979
Volume : 151.076987   Box : 5.325979
Volume : 150.299819   Box : 5.316831
Volume : 150.147961   Box : 5.315039
Volume : 150.147961   Box : 5.315039
Volume : 150.147961   Box : 5.315039
Volume : 149.559482   Box : 5.308086
Volume : 149.094295   Box : 5.302577
Volume : 148.047678   Box : 5.290140
Volume : 147.225355   Box : 5.280328
Volume : 147.094697   Box : 5.278765
Volume : 144.360996   Box : 5.245859
Volume : 143.837953   Box : 5.239516
Volume : 143.560389   Box : 5.236144
Volume : 143.268041   Box : 5.232587
Volume : 143.132009   Box : 5.230930
Volume : 142.226188   Box : 5.219872
Volume : 142.080701   Box : 5.218092
Volume : 142.102585   Box : 5.218359
Volume : 142.115931   Box : 5.218523
Volume : 141.977973   Box : 5.216834
Volume : 141.794605   Box : 5.214587
Volume : 141.568222   Box : 5.211810
Volume : 141.438285   Box : 5.210215
Volume : 141.438285   Box : 5.210215
Volume : 140.239543   Box : 5.195454
Volume : 140.500916   Box : 5.198680
Volume : 139.968294   Box : 5.192102
Volume : 139.605188   Box : 5.187608
Volume : 139.385910   Box : 5.184891
Volume : 139.385910   Box : 5.184891
Volume : 137.140848   Box : 5.156903
Volume : 137.149405   Box : 5.157010
Volume : 136.430479   Box : 5.147983
Volume : 135.536577   Box : 5.136715
Volume : 135.390726   Box : 5.134872
Volume : 135.390726   Box : 5.134872
Volume : 134.943520   Box : 5.129212
Volume : 135.468381   Box : 5.135854
Volume : 135.455542   Box : 5.135691
Volume : 135.448044   Box : 5.135597
Volume : 135.362470   Box : 5.134515
Volume : 135.362470   Box : 5.134515
Volume : 135.110180   Box : 5.131323
Volume : 134.810741   Box : 5.127529
Volume : 134.898002   Box : 5.128636
Volume : 134.898002   Box : 5.128636
Volume : 134.672495   Box : 5.125776
Volume : 134.409947   Box : 5.122443
Volume : 134.409947   Box : 5.122443
Volume : 134.375922   Box : 5.122011
Volume : 134.125632   Box : 5.118829
Volume : 132.905869   Box : 5.103264
Volume : 132.990530   Box : 5.104348
Volume : 132.714270   Box : 5.100811
Volume : 132.503538   Box : 5.098109
Volume : 132.472786   Box : 5.097715
Volume : 132.333640   Box : 5.095930
Volume : 132.460479   Box : 5.097557
Volume : 131.945635   Box : 5.090944
Volume : 131.709045   Box : 5.087900
Volume : 131.401335   Box : 5.083934
Volume : 131.401335   Box : 5.083934
Volume : 130.829376   Box : 5.076547
Volume : 130.136956   Box : 5.067575
Volume : 129.880831   Box : 5.064249
Volume : 129.614175   Box : 5.060780
Volume : 129.327748   Box : 5.057050
Volume : 129.300367   Box : 5.056693
Volume : 129.392493   Box : 5.057894
Volume : 129.189927   Box : 5.055253
Volume : 129.189927   Box : 5.055253
Volume : 128.687265   Box : 5.048688
