Number of cycles (x 1000) : 2000
Number of init cycles    : 200
NumberOfParticles        : 100
Maximum displacement     : 1.000000
Maximum volume change    : 0.010000
Beta                     : 10.000000
Pressure                 : 1.000000


Volume : 988.156757   Box : 9.960366
Volume : 889.550994   Box : 9.617384
Volume : 786.198223   Box : 9.229483
Volume : 706.955888   Box : 8.908353
Volume : 631.167796   Box : 8.577912
Volume : 571.132695   Box : 8.296833
Volume : 515.565370   Box : 8.018527
Volume : 476.634607   Box : 7.811394
Volume : 431.708411   Box : 7.557825
Volume : 391.224771   Box : 7.313784
Volume : 356.119198   Box : 7.088132
Volume : 331.313307   Box : 6.919578
Volume : 303.484692   Box : 6.720149
Volume : 286.303091   Box : 6.590859
Volume : 265.750206   Box : 6.429214
Volume : 245.917553   Box : 6.265126
Volume : 233.353503   Box : 6.156560
Volume : 224.925957   Box : 6.081535
Volume : 215.851475   Box : 5.998624
Volume : 210.495850   Box : 5.948597
Volume : 200.709216   Box : 5.854940
Volume : 192.624710   Box : 5.775248
Volume : 185.555372   Box : 5.703715
Volume : 179.219397   Box : 5.638042
Volume : 175.427866   Box : 5.598000
Volume : 172.798472   Box : 5.569890
Volume : 172.067160   Box : 5.562021
Volume : 170.763295   Box : 5.547937
Volume : 168.115550   Box : 5.519113
Volume : 166.857930   Box : 5.505316
Volume : 160.782731   Box : 5.437674
Volume : 158.332406   Box : 5.409909
Volume : 157.101910   Box : 5.395858
Volume : 154.184521   Box : 5.362248
Volume : 152.749891   Box : 5.345565
Volume : 151.934754   Box : 5.336040
Volume : 149.961258   Box : 5.312835
Volume : 147.263566   Box : 5.280784
Volume : 146.114168   Box : 5.267010
Volume : 145.095863   Box : 5.254745
Volume : 144.256627   Box : 5.244595
Volume : 143.906395   Box : 5.240347
Volume : 142.576725   Box : 5.224157
Volume : 142.135192   Box : 5.218759
Volume : 140.961442   Box : 5.204353
Volume : 140.262989   Box : 5.195743
Volume : 139.858203   Box : 5.190740
Volume : 138.663376   Box : 5.175916
Volume : 136.351538   Box : 5.146990
Volume : 134.098389   Box : 5.118482
Volume : 133.371632   Box : 5.109219
Volume : 133.171785   Box : 5.106665
Volume : 133.532086   Box : 5.111267
Volume : 132.790542   Box : 5.101788
Volume : 132.617883   Box : 5.099576
Volume : 132.031324   Box : 5.092046
Volume : 131.629561   Box : 5.086876
Volume : 131.369714   Box : 5.083526
Volume : 130.603466   Box : 5.073623
Volume : 130.320060   Box : 5.069951
Volume : 129.558115   Box : 5.060051
Volume : 129.397000   Box : 5.057952
Volume : 129.419067   Box : 5.058240
Volume : 129.091289   Box : 5.053966
Volume : 128.857026   Box : 5.050907
Volume : 128.854862   Box : 5.050879
Volume : 128.604531   Box : 5.047606
Volume : 128.200974   Box : 5.042320
Volume : 127.256238   Box : 5.029904
Volume : 126.507315   Box : 5.020017
Volume : 126.458822   Box : 5.019376
Volume : 125.671343   Box : 5.008935
Volume : 125.861157   Box : 5.011456
Volume : 125.309163   Box : 5.004119
Volume : 124.618076   Box : 4.994902
Volume : 124.868426   Box : 4.998245
Volume : 124.880917   Box : 4.998412
Volume : 124.608754   Box : 4.994778
Volume : 124.914105   Box : 4.998854
Volume : 125.262705   Box : 5.003500
Volume : 124.555120   Box : 4.994061
Volume : 124.777248   Box : 4.997028
Volume : 124.651518   Box : 4.995349
Volume : 124.470308   Box : 4.992927
Volume : 124.472669   Box : 4.992959
Volume : 124.496590   Box : 4.993279
Volume : 124.401127   Box : 4.992002
Volume : 124.389666   Box : 4.991849
Volume : 124.406556   Box : 4.992075
Volume : 124.377660   Box : 4.991688
Volume : 124.431814   Box : 4.992413
Volume : 124.502979   Box : 4.993364
Volume : 124.523461   Box : 4.993638
Volume : 125.129663   Box : 5.001728
Volume : 124.444139   Box : 4.992578
Volume : 124.249999   Box : 4.989980
Volume : 124.119187   Box : 4.988228
Volume : 124.061309   Box : 4.987453
Volume : 123.806830   Box : 4.984040
Volume : 123.804488   Box : 4.984009
Volume : 124.119631   Box : 4.988234
Volume : 123.840530   Box : 4.984492
Volume : 123.855753   Box : 4.984697
Volume : 123.687587   Box : 4.982440
Volume : 123.954600   Box : 4.986022
Volume : 123.657840   Box : 4.982040
Volume : 123.499623   Box : 4.979914
Volume : 123.257007   Box : 4.976651
Volume : 123.871400   Box : 4.984906
Volume : 124.211199   Box : 4.989460
Volume : 123.838399   Box : 4.984464
Volume : 123.870220   Box : 4.984891
Volume : 123.462767   Box : 4.979419
Volume : 123.382304   Box : 4.978337
Volume : 122.864150   Box : 4.971358
Volume : 122.149952   Box : 4.961707
Volume : 122.879060   Box : 4.971559
Volume : 122.165261   Box : 4.961914
Volume : 122.249799   Box : 4.963058
Volume : 122.267904   Box : 4.963303
Volume : 122.508588   Box : 4.966558
Volume : 122.578245   Box : 4.967499
Volume : 122.320900   Box : 4.964020
Volume : 121.562008   Box : 4.953733
Volume : 121.441746   Box : 4.952099
Volume : 121.301301   Box : 4.950189
Volume : 121.308479   Box : 4.950287
Volume : 121.299531   Box : 4.950165
Volume : 121.527844   Box : 4.953269
Volume : 121.866171   Box : 4.957861
Volume : 121.404903   Box : 4.951598
Volume : 121.141757   Box : 4.948018
