Number of cycles (x 1000) : 2000
Number of init cycles    : 200
NumberOfParticles        : 100
Maximum displacement     : 1.000000
Maximum volume change    : 0.001000
Beta                     : 10.000000
Pressure                 : 1.000000


Volume : 998.872086   Box : 9.996239
Volume : 987.909299   Box : 9.959534
Volume : 978.478460   Box : 9.927741
Volume : 966.629839   Box : 9.887505
Volume : 953.750716   Box : 9.843396
Volume : 946.099975   Box : 9.817005
Volume : 937.000068   Box : 9.785429
Volume : 924.518942   Box : 9.741786
Volume : 909.134453   Box : 9.687448
Volume : 897.508315   Box : 9.645976
Volume : 888.089563   Box : 9.612114
Volume : 879.146088   Box : 9.579739
Volume : 866.127955   Box : 9.532219
Volume : 858.164013   Box : 9.502913
Volume : 847.016046   Box : 9.461585
Volume : 838.443783   Box : 9.429558
Volume : 826.390018   Box : 9.384152
Volume : 817.404538   Box : 9.350016
Volume : 808.994701   Box : 9.317840
Volume : 797.152968   Box : 9.272152
Volume : 786.942837   Box : 9.232395
Volume : 779.717424   Box : 9.204052
Volume : 771.934364   Box : 9.173325
Volume : 763.920037   Box : 9.141469
Volume : 754.727587   Box : 9.104653
Volume : 747.571147   Box : 9.075785
Volume : 739.319085   Box : 9.042267
Volume : 733.112246   Box : 9.016891
Volume : 725.581284   Box : 8.985909
Volume : 718.616218   Box : 8.957064
Volume : 712.675076   Box : 8.932311
Volume : 707.052195   Box : 8.908758
Volume : 699.883402   Box : 8.878547
Volume : 694.063342   Box : 8.853868
Volume : 686.220930   Box : 8.820394
Volume : 681.096808   Box : 8.798385
Volume : 674.024131   Box : 8.767824
Volume : 668.751425   Box : 8.744901
Volume : 661.902828   Box : 8.714947
Volume : 654.845506   Box : 8.683863
Volume : 648.173377   Box : 8.654269
Volume : 640.457419   Box : 8.619791
Volume : 635.262508   Box : 8.596422
Volume : 629.478887   Box : 8.570255
Volume : 623.373141   Box : 8.542455
Volume : 615.418366   Box : 8.505963
Volume : 609.641233   Box : 8.479263
Volume : 604.210601   Box : 8.454010
Volume : 599.205449   Box : 8.430602
Volume : 594.422036   Box : 8.408108
Volume : 591.349180   Box : 8.393595
Volume : 586.049722   Box : 8.368446
Volume : 581.116433   Box : 8.344898
Volume : 576.592375   Box : 8.323187
Volume : 570.530769   Box : 8.293917
Volume : 563.387493   Box : 8.259157
Volume : 555.927347   Box : 8.222540
Volume : 550.616713   Box : 8.196274
Volume : 545.133636   Box : 8.168977
Volume : 539.815280   Box : 8.142324
Volume : 534.733984   Box : 8.116696
Volume : 531.943493   Box : 8.102552
Volume : 527.699532   Box : 8.080947
Volume : 521.753244   Box : 8.050479
Volume : 516.872551   Box : 8.025298
Volume : 511.927719   Box : 7.999624
Volume : 506.160468   Box : 7.969469
Volume : 500.493884   Box : 7.939618
Volume : 493.785298   Box : 7.903984
Volume : 489.905552   Box : 7.883229
Volume : 485.394100   Box : 7.858956
Volume : 481.319371   Box : 7.836903
Volume : 477.402249   Box : 7.815585
Volume : 471.229857   Box : 7.781756
Volume : 465.893948   Box : 7.752272
Volume : 462.301202   Box : 7.732294
Volume : 457.858446   Box : 7.707445
Volume : 453.526991   Box : 7.683063
Volume : 450.834595   Box : 7.667829
Volume : 445.606271   Box : 7.638072
Volume : 441.668074   Box : 7.615504
Volume : 436.718374   Box : 7.586949
Volume : 432.283051   Box : 7.561177
Volume : 429.854129   Box : 7.546989
Volume : 425.174942   Box : 7.519504
Volume : 420.492073   Box : 7.491796
Volume : 418.489337   Box : 7.479883
Volume : 415.099187   Box : 7.459630
Volume : 412.446743   Box : 7.443707
Volume : 408.060318   Box : 7.417225
Volume : 405.807965   Box : 7.403553
Volume : 403.537194   Box : 7.389718
Volume : 400.741879   Box : 7.372615
Volume : 396.470273   Box : 7.346326
Volume : 393.010042   Box : 7.324892
Volume : 389.218526   Box : 7.301260
Volume : 386.772019   Box : 7.285930
Volume : 382.623567   Box : 7.259787
Volume : 379.923293   Box : 7.242669
Volume : 375.899782   Box : 7.217011
Volume : 372.023647   Box : 7.192119
Volume : 369.229694   Box : 7.174069
Volume : 366.144638   Box : 7.154032
Volume : 364.136567   Box : 7.140930
Volume : 360.561531   Box : 7.117483
Volume : 357.500752   Box : 7.097286
Volume : 354.504709   Box : 7.077404
Volume : 352.966371   Box : 7.067152
Volume : 350.637897   Box : 7.051578
Volume : 348.435134   Box : 7.036780
Volume : 347.013471   Box : 7.027197
Volume : 343.437674   Box : 7.002976
Volume : 340.234635   Box : 6.981137
Volume : 336.329414   Box : 6.954324
Volume : 334.104494   Box : 6.938956
Volume : 332.020889   Box : 6.924501
Volume : 329.906090   Box : 6.909768
Volume : 327.636143   Box : 6.893883
Volume : 325.344550   Box : 6.877773
Volume : 322.250315   Box : 6.855900
Volume : 319.041745   Box : 6.833069
Volume : 316.996203   Box : 6.818435
Volume : 313.329790   Box : 6.792045
Volume : 311.698228   Box : 6.780235
Volume : 309.194563   Box : 6.762033
Volume : 307.631603   Box : 6.750620
Volume : 305.999691   Box : 6.738662
Volume : 303.991607   Box : 6.723889
Volume : 301.979155   Box : 6.709018
Volume : 300.594639   Box : 6.698750
Volume : 298.159380   Box : 6.680611
Volume : 295.421001   Box : 6.660095
