Number of cycles (x 1000) : 2000
Number of init cycles    : 200
NumberOfParticles        : 100
Maximum displacement     : 1.000000
Maximum volume change    : 0.500000
Beta                     : 10.000000
Pressure                 : 1.000000


Volume : 1000.000000   Box : 10.000000
Volume : 897.268183   Box : 9.645115
Volume : 836.018865   Box : 9.420458
Volume : 678.484436   Box : 8.787121
Volume : 582.952329   Box : 8.353677
Volume : 518.773094   Box : 8.035122
Volume : 517.058094   Box : 8.026258
Volume : 493.814573   Box : 7.904140
Volume : 461.864994   Box : 7.729861
Volume : 447.157252   Box : 7.646924
Volume : 423.399343   Box : 7.509022
Volume : 380.164899   Box : 7.244204
Volume : 380.164899   Box : 7.244204
Volume : 374.406946   Box : 7.207444
Volume : 371.124863   Box : 7.186322
Volume : 355.841694   Box : 7.086290
Volume : 354.990725   Box : 7.080637
Volume : 345.366045   Box : 7.016059
Volume : 341.769642   Box : 6.991620
Volume : 339.850044   Box : 6.978506
Volume : 339.850044   Box : 6.978506
Volume : 328.261087   Box : 6.898264
Volume : 320.452717   Box : 6.843128
Volume : 306.547284   Box : 6.742679
Volume : 306.547284   Box : 6.742679
Volume : 305.845310   Box : 6.737528
Volume : 280.916619   Box : 6.549264
Volume : 280.485416   Box : 6.545911
Volume : 279.950508   Box : 6.541747
Volume : 278.158280   Box : 6.527757
Volume : 274.462220   Box : 6.498715
Volume : 272.731873   Box : 6.485030
Volume : 272.731873   Box : 6.485030
Volume : 271.691900   Box : 6.476776
Volume : 271.658633   Box : 6.476512
Volume : 269.728562   Box : 6.461137
Volume : 269.031378   Box : 6.455566
Volume : 266.341069   Box : 6.433975
Volume : 266.341069   Box : 6.433975
Volume : 263.861699   Box : 6.413948
Volume : 260.560159   Box : 6.387085
Volume : 260.560159   Box : 6.387085
Volume : 253.736717   Box : 6.330837
Volume : 252.472633   Box : 6.320306
Volume : 250.866921   Box : 6.306879
Volume : 250.866921   Box : 6.306879
Volume : 249.156868   Box : 6.292515
Volume : 249.156868   Box : 6.292515
Volume : 247.136614   Box : 6.275462
Volume : 247.136614   Box : 6.275462
Volume : 247.136614   Box : 6.275462
Volume : 247.186354   Box : 6.275883
Volume : 247.154638   Box : 6.275614
Volume : 244.990972   Box : 6.257248
Volume : 245.055183   Box : 6.257794
Volume : 245.055183   Box : 6.257794
Volume : 243.321153   Box : 6.242999
Volume : 242.728157   Box : 6.237924
Volume : 242.728157   Box : 6.237924
Volume : 240.597781   Box : 6.219620
Volume : 240.597781   Box : 6.219620
Volume : 234.074266   Box : 6.162892
Volume : 226.925458   Box : 6.099502
Volume : 226.259393   Box : 6.093529
Volume : 226.259393   Box : 6.093529
Volume : 226.101068   Box : 6.092107
Volume : 220.774692   Box : 6.043888
Volume : 217.715161   Box : 6.015839
Volume : 216.100602   Box : 6.000931
Volume : 216.100602   Box : 6.000931
Volume : 213.283763   Box : 5.974743
Volume : 209.220359   Box : 5.936557
Volume : 208.229623   Box : 5.927172
Volume : 207.639978   Box : 5.921572
Volume : 206.274151   Box : 5.908559
Volume : 206.044629   Box : 5.906367
Volume : 206.075819   Box : 5.906665
Volume : 206.234570   Box : 5.908181
Volume : 206.331436   Box : 5.909106
Volume : 205.490254   Box : 5.901065
Volume : 205.068308   Box : 5.897023
Volume : 201.563057   Box : 5.863231
Volume : 201.563057   Box : 5.863231
Volume : 201.563057   Box : 5.863231
Volume : 201.563057   Box : 5.863231
Volume : 201.563057   Box : 5.863231
Volume : 201.576767   Box : 5.863364
Volume : 199.345916   Box : 5.841653
Volume : 196.837166   Box : 5.817044
Volume : 196.837166   Box : 5.817044
Volume : 194.777826   Box : 5.796687
Volume : 194.838597   Box : 5.797290
Volume : 194.838597   Box : 5.797290
Volume : 193.275023   Box : 5.781740
Volume : 192.843970   Box : 5.777439
Volume : 188.676769   Box : 5.735520
Volume : 188.676769   Box : 5.735520
Volume : 188.370793   Box : 5.732418
Volume : 185.394758   Box : 5.702069
Volume : 185.133371   Box : 5.699388
Volume : 184.120175   Box : 5.688972
Volume : 184.120175   Box : 5.688972
Volume : 184.030512   Box : 5.688048
Volume : 182.276903   Box : 5.669924
Volume : 182.276903   Box : 5.669924
Volume : 182.276903   Box : 5.669924
Volume : 182.276903   Box : 5.669924
Volume : 181.343882   Box : 5.660233
Volume : 181.343882   Box : 5.660233
Volume : 181.343882   Box : 5.660233
Volume : 181.221814   Box : 5.658963
Volume : 180.767034   Box : 5.654225
Volume : 180.767034   Box : 5.654225
Volume : 180.767034   Box : 5.654225
Volume : 179.570453   Box : 5.641721
Volume : 179.570453   Box : 5.641721
Volume : 179.158571   Box : 5.637404
Volume : 179.158571   Box : 5.637404
Volume : 179.158571   Box : 5.637404
Volume : 179.158571   Box : 5.637404
Volume : 177.810243   Box : 5.623227
Volume : 177.810243   Box : 5.623227
Volume : 177.698209   Box : 5.622045
Volume : 177.698209   Box : 5.622045
Volume : 177.287348   Box : 5.617709
Volume : 177.287348   Box : 5.617709
Volume : 176.704117   Box : 5.611542
Volume : 176.381226   Box : 5.608122
Volume : 176.371682   Box : 5.608021
Volume : 176.194547   Box : 5.606143
Volume : 176.194547   Box : 5.606143
Volume : 174.865006   Box : 5.592006
