Number of cycles (x 1000) : 2000
Number of init cycles    : 200
NumberOfParticles        : 100
Maximum displacement     : 1.000000
Maximum volume change    : 1.000000
Beta                     : 10.000000
Pressure                 : 1.000000


Volume : 1000.000000   Box : 10.000000
Volume : 772.035096   Box : 9.173724
Volume : 758.776404   Box : 9.120905
Volume : 644.592857   Box : 8.638304
Volume : 639.367690   Box : 8.614900
Volume : 581.165800   Box : 8.345135
Volume : 545.983877   Box : 8.173222
Volume : 545.983877   Box : 8.173222
Volume : 527.723318   Box : 8.081068
Volume : 489.401538   Box : 7.880524
Volume : 486.437541   Box : 7.864583
Volume : 462.155312   Box : 7.731480
Volume : 459.200771   Box : 7.714969
Volume : 459.200771   Box : 7.714969
Volume : 430.447784   Box : 7.550461
Volume : 424.618876   Box : 7.516225
Volume : 419.747499   Box : 7.487371
Volume : 408.221977   Box : 7.418204
Volume : 369.817321   Box : 7.177873
Volume : 369.817321   Box : 7.177873
Volume : 368.671308   Box : 7.170451
Volume : 364.879547   Box : 7.145783
Volume : 357.674435   Box : 7.098435
Volume : 357.674435   Box : 7.098435
Volume : 349.504306   Box : 7.043970
Volume : 348.311084   Box : 7.035945
Volume : 337.212878   Box : 6.960408
Volume : 336.654860   Box : 6.956567
Volume : 336.654860   Box : 6.956567
Volume : 336.654860   Box : 6.956567
Volume : 336.654860   Box : 6.956567
Volume : 334.799166   Box : 6.943761
Volume : 334.799166   Box : 6.943761
Volume : 334.799166   Box : 6.943761
Volume : 334.799166   Box : 6.943761
Volume : 334.799166   Box : 6.943761
Volume : 331.909731   Box : 6.923728
Volume : 330.224565   Box : 6.911990
Volume : 330.224565   Box : 6.911990
Volume : 321.680475   Box : 6.851856
Volume : 321.680475   Box : 6.851856
Volume : 317.200712   Box : 6.819901
Volume : 316.288874   Box : 6.813360
Volume : 316.288874   Box : 6.813360
Volume : 316.288874   Box : 6.813360
Volume : 316.288874   Box : 6.813360
Volume : 316.288874   Box : 6.813360
Volume : 310.714901   Box : 6.773098
Volume : 308.129760   Box : 6.754262
Volume : 304.251034   Box : 6.725801
Volume : 293.845554   Box : 6.648235
Volume : 285.121112   Box : 6.581776
Volume : 279.872133   Box : 6.541137
Volume : 279.872133   Box : 6.541137
Volume : 271.494141   Box : 6.475204
Volume : 271.494141   Box : 6.475204
Volume : 271.494141   Box : 6.475204
Volume : 271.494141   Box : 6.475204
Volume : 266.723153   Box : 6.437050
Volume : 266.723153   Box : 6.437050
Volume : 264.685475   Box : 6.420616
Volume : 260.120756   Box : 6.383492
Volume : 260.011271   Box : 6.382597
Volume : 260.011271   Box : 6.382597
Volume : 260.011271   Box : 6.382597
Volume : 260.011271   Box : 6.382597
Volume : 257.493280   Box : 6.361926
Volume : 257.493280   Box : 6.361926
Volume : 255.940587   Box : 6.349113
Volume : 248.545927   Box : 6.287368
Volume : 248.003567   Box : 6.282791
Volume : 247.121709   Box : 6.275336
Volume : 242.174811   Box : 6.233180
Volume : 242.174811   Box : 6.233180
Volume : 242.174811   Box : 6.233180
Volume : 242.174811   Box : 6.233180
Volume : 239.670382   Box : 6.211619
Volume : 239.121052   Box : 6.206869
Volume : 239.013770   Box : 6.205941
Volume : 239.013770   Box : 6.205941
Volume : 239.013770   Box : 6.205941
Volume : 239.013770   Box : 6.205941
Volume : 239.013770   Box : 6.205941
Volume : 238.868915   Box : 6.204687
Volume : 238.746582   Box : 6.203628
Volume : 237.652235   Box : 6.194135
Volume : 237.652235   Box : 6.194135
Volume : 237.652235   Box : 6.194135
Volume : 237.652235   Box : 6.194135
Volume : 235.425517   Box : 6.174728
Volume : 235.425517   Box : 6.174728
Volume : 235.425517   Box : 6.174728
Volume : 235.444401   Box : 6.174893
Volume : 235.444401   Box : 6.174893
Volume : 233.498673   Box : 6.157836
Volume : 233.498673   Box : 6.157836
Volume : 233.498673   Box : 6.157836
Volume : 233.498673   Box : 6.157836
Volume : 233.498673   Box : 6.157836
Volume : 232.488713   Box : 6.148945
Volume : 232.488713   Box : 6.148945
Volume : 232.488713   Box : 6.148945
Volume : 232.408936   Box : 6.148242
Volume : 230.184999   Box : 6.128568
Volume : 226.447300   Box : 6.095215
Volume : 226.447300   Box : 6.095215
Volume : 226.331646   Box : 6.094177
Volume : 226.331646   Box : 6.094177
Volume : 225.421901   Box : 6.086001
Volume : 225.421901   Box : 6.086001
Volume : 225.421901   Box : 6.086001
Volume : 225.421901   Box : 6.086001
Volume : 225.723064   Box : 6.088710
Volume : 224.254080   Box : 6.075473
Volume : 224.254080   Box : 6.075473
Volume : 223.969952   Box : 6.072906
Volume : 223.969952   Box : 6.072906
Volume : 223.969952   Box : 6.072906
Volume : 221.506209   Box : 6.050556
Volume : 221.090539   Box : 6.046769
Volume : 221.090539   Box : 6.046769
Volume : 221.090539   Box : 6.046769
Volume : 220.023217   Box : 6.037023
Volume : 219.607991   Box : 6.033223
Volume : 219.607991   Box : 6.033223
Volume : 219.607991   Box : 6.033223
Volume : 218.955948   Box : 6.027246
Volume : 218.955948   Box : 6.027246
Volume : 218.955948   Box : 6.027246
Volume : 217.651310   Box : 6.015251
Volume : 217.651310   Box : 6.015251
Volume : 215.865595   Box : 5.998755
